biome_types,year,grazing,plots,alphaD,betaD,gammaD,alphaD2,betaD2,gammaD2,biomass,sd_biomass,dominants_biomass,dominants_abundance
Grasslands,2017,NG,6,4.8,2.083333333,10,1.240240696,1.015633478,1.259629972,60.542,4.4633264,53.816,88.89035711
Grasslands,2017,NG,7,3.4,2.352941176,8,1.013232529,0.998631276,1.011845694,68.062,7.4839134,67.662,99.41230055
Grasslands,2017,NG,8,3.4,2.352941176,8,1.053473776,0.996373291,1.049653133,70.456,6.5235636,68.764,97.59850119
Grasslands,2017,NG,9,5,1.8,9,1.34409957,1.122004992,1.508086428,93.442,6.3550224,75.128,80.40067636
Grasslands,2017,NG,10,4,2.5,10,1.056680602,1.009557579,1.06677991,123.938,11.1523118,119.976,96.80324033
Grasslands,2017,MG,11,4.2,2.619047619,11,1.193273842,1.038919862,1.239715895,28.518,2.8747768,25.572,89.66968231
Grasslands,2017,HG,12,3.4,2.647058824,9,1.153087289,1.388996994,1.601634777,22.52,2.0026464,17,75.48845471
Grasslands,2017,MG,13,3.4,2.352941176,8,1.053430224,1.00440768,1.058073407,19.302,1.941779,18.76,97.19200083
Grasslands,2017,MG,14,3.4,2.058823529,7,1.057222965,0.982343954,1.038556588,25.332,2.8802024,24.856,98.12095373
Grasslands,2017,HG,15,3.6,2.222222222,8,1.017266903,1.001209842,1.018497635,36.106,3.4249398,35.776,99.08602448
Grasslands,2017,MG,16,5,2.6,13,1.020169421,0.99242996,1.012446698,42.148,3.9422212,41.888,99.38312613
Grasslands,2017,HG,17,3.4,2.352941176,8,1.01394948,1.000681014,1.014639994,22.08,2.1858876,21.92,99.27536232
Grasslands,2017,HG,18,3.6,1.944444444,7,1.023167846,1.002583577,1.025811279,23.166,2.1616638,22.872,98.73089873
Grasslands,2017,MG,19,3.6,1.944444444,7,1.064702826,0.983407973,1.047037247,28.388,2.713594,27.74,97.71734536
Grasslands,2017,HG,20,6,1.833333333,11,1.582685066,1.060417324,1.678306663,11.118,0.671861,8.374,75.31930203
Grasslands,2018,NG,6,7.2,1.805555556,13,1.748244624,1.079097775,1.886526884,28.2444,1.39523,19.978,70.7326054
Grasslands,2018,NG,7,5.6,2.142857143,12,1.25485701,1.005257256,1.261454114,54.8898,3.7731448,48.806,88.91633783
Grasslands,2018,NG,8,4.8,1.458333333,7,1.208438411,1.006970754,1.216862138,52.2942,3.950641,47.344,90.53394067
Grasslands,2018,NG,9,5.2,2.115384615,11,1.340697888,1.029476758,1.380217316,68.7664,4.67933,58.31,84.79431816
Grasslands,2018,NG,10,7.2,1.388888889,10,2.915770727,1.135723734,3.311510016,40.7378,1.3921394,19.7,48.35803603
Grasslands,2018,MG,11,6.2,1.774193548,11,1.443283881,1.088995279,1.571729332,19.6918,1.1596976,15.218,77.28089865
Grasslands,2018,HG,12,5.2,1.923076923,10,1.258524756,1.006290385,1.26644136,12.0686,0.9016152,10.6704,88.41456341
Grasslands,2018,MG,13,6.2,2.096774194,13,1.364503612,1.408766669,1.922267207,22.1442,1.3263932,14.406,65.05540954
Grasslands,2018,MG,14,5,2,10,1.18677482,1.041685688,1.236246345,26.3746,1.970298,23.658,89.69993858
Grasslands,2018,HG,15,6.8,1.617647059,11,1.199557633,0.98573916,1.182450934,13.6298,0.9449928,12.52,91.85754743
Grasslands,2018,MG,16,7,1.571428571,11,1.055623889,1.002513848,1.058277568,29.5678,2.1095832,28.74,97.20033279
Grasslands,2018,HG,17,6.8,1.617647059,11,1.108199073,1.019423914,1.129724636,15.6752,1.0685682,14.7406,94.03771563
Grasslands,2018,HG,18,7.4,1.756756757,13,1.185105985,1.000924423,1.186201524,11.983,0.7631686,10.986,91.67987983
Grasslands,2018,MG,19,7,1.571428571,11,1.159708845,0.999445603,1.159065906,22.0742,1.4562426,20.49,92.82329597
Grasslands,2018,HG,20,8.4,1.666666667,14,2.907552971,1.105759685,3.215054857,13.2538,0.4409134,6.428,48.49929831
Grasslands,2019,NG,6,6.2,2.096774194,13,1.540463982,0.980053917,1.50973776,42.28,2.6443846,34.034,80.49668874
Grasslands,2019,NG,7,3.6,2.222222222,8,1.202952699,1.003610696,1.207296195,52.754,4.3160708,47.876,90.75330781
Grasslands,2019,NG,8,3,2,6,1.13317523,1.025581357,1.16216339,81.616,7.3180576,75.64,92.67790629
Grasslands,2019,NG,9,4.6,1.956521739,9,1.239073189,1.110156086,1.375564641,73.53,5.6931418,62.284,84.70556236
Grasslands,2019,NG,10,5.6,1.607142857,9,1.802074725,1.02941814,1.855088411,76.166,4.0850316,54.976,72.17918756
Grasslands,2019,MG,11,3.8,2.368421053,9,1.199953313,1.0167241,1.220021453,20.748,1.670718,18.698,90.11952959
Grasslands,2019,HG,12,6.4,2.03125,13,1.395488297,1.289932016,1.800085032,17.754,1.0520882,12.308,69.32522249
Grasslands,2019,MG,13,4.8,2.083333333,10,1.212208877,1.019968352,1.236414691,28.738,2.1059176,25.754,89.6165356
Grasslands,2019,MG,14,4.8,2.083333333,10,1.151386573,0.991968794,1.14213955,29.814,2.3503316,27.866,93.46615684
Grasslands,2019,HG,15,4.4,1.590909091,7,1.335182589,1.075076263,1.435423108,25.394,1.7752938,20.856,82.12963692
Grasslands,2019,MG,16,5.2,2.115384615,11,1.247244869,1.03070196,1.285537732,32.76,2.3715982,28.798,87.90598291
Grasslands,2019,HG,17,6.2,1.612903226,10,1.085796515,1.004545335,1.090731824,26.122,1.886111,25.006,95.72773907
Grasslands,2019,HG,18,5.2,2.5,13,1.106054817,1.002829837,1.109184772,32.42,2.4624982,30.776,94.92905614
Grasslands,2019,MG,19,4.2,1.904761905,8,1.14870746,0.987795538,1.134688104,34.532,2.858702,32.386,93.78547434
Grasslands,2019,HG,20,9.2,1.630434783,15,2.068527547,1.060535673,2.193747255,21.986,0.9651856,14.374,65.3779678
Grasslands,2020,NG,6,4.8,1.875,9,1.182042183,0.981730535,1.160446905,40.365,3.3540558,37.4304,92.72984021
Grasslands,2020,NG,7,3.8,1.842105263,7,1.216907596,1.008450395,1.227190946,39.9108,3.2200248,35.9196,89.99969933
Grasslands,2020,NG,8,3.4,2.647058824,9,1.068260628,1.011984607,1.081063311,69.5354,6.4244216,66.8668,96.16224254
Grasslands,2020,NG,9,3.4,2.352941176,8,1.104643525,1.002824688,1.107763798,100.0152,9.2662484,94.9588,94.94436846
Grasslands,2020,NG,10,6,1.5,9,1.331282172,1.000925854,1.332514745,60.6588,3.979188,52.3798,86.3515269
Grasslands,2020,MG,11,4.4,2.045454545,9,1.303603826,1.233775675,1.60835469,17.6216,1.2965604,13.3796,75.92727108
Grasslands,2020,HG,12,5.2,2.115384615,11,1.492145281,1.300090452,1.939923833,13.0408,1.197738,3.4248,26.2621925
Grasslands,2020,MG,13,4.4,2.5,11,1.176485499,0.998360705,1.174556891,18.6638,1.5762636,17.1748,92.02198909
Grasslands,2020,MG,14,4.2,2.142857143,9,1.165961857,0.976130886,1.13813138,17.137,1.518682,16.0424,93.61265099
Grasslands,2020,HG,15,5,1.6,8,1.52793762,1.434370995,2.191629405,10.585,0.6091208,6.5276,61.66839868
Grasslands,2020,MG,16,5.8,1.896551724,11,1.360458889,1.090992564,1.484250531,7.7314,0.4779982,6.2656,81.04094989
Grasslands,2020,HG,17,6,1.833333333,11,1.150834738,0.994021142,1.143954061,7.1336,0.5118648,6.6664,93.45071212
Grasslands,2020,HG,18,7,1.571428571,11,1.294806617,1.164007357,1.507164428,6.243,0.360304,5.0456,80.82011853
Grasslands,2020,MG,19,6.6,1.818181818,12,1.251386946,1.019268016,1.27549869,14.6112,0.9595006,12.9092,88.35140166
Grasslands,2020,HG,20,9.2,1.52173913,14,2.992784018,1.617445993,4.840666519,7.6506,0.2442652,2.6366,34.46265652
Grasslands,2021,NG,6,5.8,2.24137931,13,3.410843752,1.666023647,5.682546348,65.5776,2.0329284,22.798,34.76491973
Grasslands,2021,NG,7,7.6,2.236842105,17,3.940521908,1.814338506,7.149440633,64.1044,1.4961298,19.9982,31.19629854
Grasslands,2021,NG,8,8.4,1.666666667,14,5.655678807,1.720032131,9.72794927,75.4244,1.454125,12.7474,16.90089679
Grasslands,2021,NG,9,7.8,2.179487179,17,5.034355961,1.296985619,6.529487283,80.3716,1.605936,9.5426,11.87309945
Grasslands,2021,NG,10,6.8,1.911764706,13,3.863197903,1.192144028,4.605488309,90.246,3.6196092,6.041667,6.694664583
Grasslands,2021,MG,11,6.6,1.818181818,12,4.581540151,1.198991325,5.493226895,53.7502,1.0792286,16.1756,30.09402756
Grasslands,2021,HG,12,5.6,2.142857143,12,4.409026185,1.500572057,6.616061493,34.65676,0.5496686,9.001,25.97184503
Grasslands,2021,MG,13,4.8,1.875,9,3.434260924,1.392226749,4.781269919,37.80906,1.047357,13.919,36.81392767
Grasslands,2021,MG,14,6,2,12,2.912310178,1.527345988,4.448105266,40.76266,1.1313314,17.2344,42.27987084
Grasslands,2021,HG,15,6,2.333333333,14,1.660341591,1.634913594,2.714515037,32.5034,1.8169632,18.056,55.55111158
Grasslands,2021,MG,16,6,2.333333333,14,4.210152658,1.553792861,6.541705142,47.3178,0.767403,13.0024,27.47887687
Grasslands,2021,HG,17,6,2.166666667,13,3.520258486,1.282124148,4.513408413,47.8682,1.3247228,20.1662,42.12859477
Grasslands,2021,HG,18,4.4,2.272727273,10,3.302235787,1.252221721,4.135131382,36.567,1.0423146,14.857,40.62952936
Grasslands,2021,MG,19,6.2,2.258064516,14,4.259536233,1.402777398,5.975181154,47.6206,1.0009928,16.9572,35.60895915
Grasslands,2021,HG,20,5.4,2.222222222,12,4.31125035,1.68649226,7.270890347,43.858,0.8272976,11.278,25.71480688
Shrublands,2017,HG,1,6.4,1.71875,11,1.776558811,1.199462228,2.130915189,26.464,1.69513528,16.732,63.22551391
Shrublands,2017,MG,2,6.6,1.666666667,11,2.332042651,1.291194768,3.011121269,8.988,0.39464366,2.408,26.79127726
Shrublands,2017,MG,3,6.4,2.1875,14,1.785763242,1.051457834,1.877654752,18.958,1.12793224,13.54,71.42103597
Shrublands,2017,HG,4,5,1.6,8,1.571318823,1.36089843,2.13840532,8.44,0.74703236,4.896,58.00947867
Shrublands,2017,HG,5,4.8,2.083333333,10,2.550339479,1.50190016,3.830355272,5.022,0.25450912,1.418,28.23576264
Shrublands,2017,MG,6,4.8,2.083333333,10,1.472515267,0.988267697,1.455239271,13.228,0.9850551,10.8,81.64499546
Shrublands,2017,MG,7,7,2.142857143,15,1.257955171,1.243848971,1.564706245,24.948,1.596857,19.512,78.21067821
Shrublands,2017,HG,8,4.6,1.956521739,9,1.565507461,1.270731325,1.98933937,9.658,0.68171482,6.252,64.73389936
Shrublands,2017,MG,9,5.8,2.068965517,12,1.164321952,0.970263318,1.12969888,31.102,2.39631536,29.232,93.98752492
Shrublands,2017,HG,10,5.8,2.068965517,12,1.336457312,1.303477285,1.742041749,11.438,0.8569193,8.32,72.73998951
Shrublands,2017,NG,11,6,2.166666667,13,2.112310509,1.344266791,2.83950887,22.838,1.322367,11.77,51.53691216
Shrublands,2017,NG,12,7.4,1.756756757,13,1.895473107,1.328260893,2.517682803,45.042,2.11841114,25.664,56.97793171
Shrublands,2017,NG,13,6.4,1.875,12,1.236818844,1.043247054,1.290307615,37.772,2.4868107,33.076,87.56751033
Shrublands,2017,NG,14,7.4,1.486486486,11,1.1124241,1.021196673,1.13600379,51.368,3.44218208,48.16,93.75486684
Shrublands,2017,NG,15,6.2,1.612903226,10,1.128082734,1.009811078,1.139150442,39.914,2.83121476,37.376,93.64132886
Shrublands,2018,HG,1,6.4,1.875,12,1.632747322,1.031890731,1.684816828,7.11,0.3772669,1.176,16.54008439
Shrublands,2018,MG,2,8.4,1.666666667,14,2.341759515,1.045611215,2.448570012,21.554,0.91284634,5.326,24.71003062
Shrublands,2018,MG,3,7.6,1.842105263,14,2.135301459,1.119569281,2.390617918,14.16,0.60398374,3.536,24.97175141
Shrublands,2018,HG,4,5.4,1.666666667,9,1.99945432,1.10582726,2.211051092,17.87,1.08009486,4.184,23.41354225
Shrublands,2018,HG,5,7,1.857142857,13,1.717796194,1.085036065,1.863870824,8.388,0.42354004,1.02,12.1602289
Shrublands,2018,MG,6,9,1.666666667,15,2.491782584,1.069653276,2.665343405,25.198,0.90546982,9.944,39.46344948
Shrublands,2018,MG,7,9.8,1.93877551,19,2.12041192,1.303709793,2.764401784,16.914,0.65057178,7.794,46.08017027
Shrublands,2018,HG,8,7.6,2.105263158,16,1.71118901,1.43522049,2.455933529,14.6,0.77416884,5.59,38.28767123
Shrublands,2018,MG,9,10.2,1.862745098,19,2.234717731,1.1643035,2.601889675,17.992,0.71026302,8.458,47.00978213
Shrublands,2018,HG,10,7.2,1.805555556,13,1.803654128,1.099491225,1.983101887,11.356,0.6020318,2.77,24.39239169
Shrublands,2018,NG,11,8.4,1.785714286,15,1.847762912,1.47644423,2.72811889,19.656,0.81399046,6.47,32.91615792
Shrublands,2018,NG,12,8.2,1.829268293,15,1.857981715,1.405758397,2.611873398,16.028,0.81316056,6.7,41.80184677
Shrublands,2018,NG,13,6,2,12,2.130530828,1.032988277,2.20081337,28.426,1.43486146,17.738,62.40061915
Shrublands,2018,NG,14,6,1.666666667,10,1.934508566,1.047495527,2.026389069,23.96,1.30244316,16.062,67.03672788
Shrublands,2018,NG,15,4.6,1.086956522,5,1.571935714,0.996995889,1.567213445,23.988,1.6014592,18.664,77.80556945
Shrublands,2019,HG,1,5.6,1.964285714,11,1.792674541,1.210715969,2.170419695,16.59,0.88585722,8.6,51.8384569
Shrublands,2019,MG,2,7,1.857142857,13,2.690182855,1.187498712,3.194588675,12.494,0.4582035,4.58,36.65759565
Shrublands,2019,MG,3,7.6,2.105263158,16,2.017691585,1.370496442,2.76523914,18.572,0.97236078,9.264,49.88154211
Shrublands,2019,HG,4,5.4,1.666666667,9,2.036088669,1.032629039,2.102524284,15.256,0.92679088,9.758,63.96171998
Shrublands,2019,HG,5,6.2,2.096774194,13,2.052891146,1.267148329,2.601317585,10.69,0.52001046,3.304,30.90739008
Shrublands,2019,MG,6,5.6,1.607142857,9,1.761102283,1.034967541,1.822683698,30.032,1.76323186,21.192,70.56473095
Shrublands,2019,MG,7,5.8,1.896551724,11,1.832939673,1.229475501,2.253554422,21.642,1.12615858,13.408,61.95360872
Shrublands,2019,HG,8,7.6,2.368421053,18,1.99923193,1.225071163,2.449201386,11.66,0.56764942,5.3,45.45454545
Shrublands,2019,MG,9,8,2,16,1.56300894,1.032331086,1.613542716,23.448,1.20625208,18.026,76.87649266
Shrublands,2019,HG,10,7.6,2.105263158,16,1.785313841,1.312843674,2.343837983,16.93,0.81851148,10.348,61.12226816
Shrublands,2019,NG,11,6.8,1.764705882,12,2.346269219,1.147568159,2.692503849,29.59,1.27985058,16.096,54.39675566
Shrublands,2019,NG,12,6.6,1.666666667,11,2.481171376,1.216157478,3.017495125,17.498,0.88611606,7.614,43.51354441
Shrublands,2019,NG,13,7.4,2.027027027,15,1.659656715,0.962400762,1.597254887,47.376,3.01111014,36.978,78.05217832
Shrublands,2019,NG,14,7.4,1.621621622,12,1.428179283,0.987444336,1.410247544,49.918,2.97980072,41.816,83.76938179
Shrublands,2019,NG,15,4.8,2.083333333,10,1.43157459,1.063040529,1.52182181,43.308,2.87317642,34.884,80.54862843
Shrublands,2020,HG,1,5.8,2.413793103,14,1.984260692,1.089609325,2.162068952,6.312,0.33292866,1.704,26.99619772
Shrublands,2020,MG,2,8,1.75,14,2.193825005,1.051834287,2.307540361,10.012,0.41180476,3.372,33.6795845
Shrublands,2020,MG,3,5,2.2,11,1.713715128,1.379900028,2.364755554,7.438,0.41437636,2.086,28.04517343
Shrublands,2020,HG,4,4.6,1.739130435,8,1.965423771,1.215630054,2.389228204,3.81,0.22583072,1.302,34.17322835
Shrublands,2020,HG,5,3.8,2.631578947,10,1.29293219,0.93226683,1.205357795,4.612,0.5183974,0.4675,10.13660017
Shrublands,2020,MG,6,4.6,1.739130435,8,1.50567142,1.002660145,1.509676723,9.81,0.64800146,7.79,79.40876656
Shrublands,2020,MG,7,5.4,1.851851852,10,1.88117126,1.306310072,2.457392965,6.23,0.29891878,3.428,55.02407705
Shrublands,2020,HG,8,4.4,1.818181818,8,1.99076925,1.239296481,2.467153325,5.814,0.29287512,2.7,46.43962848
Shrublands,2020,MG,9,7.4,1.621621622,12,1.671986945,1.140031985,1.906118595,8.488,0.45538416,5.75,67.74269557
Shrublands,2020,HG,10,4.8,1.875,9,2.10148025,1.466055232,3.080886115,7.352,0.3552838,2.76,37.54080522
Shrublands,2020,NG,11,9.2,1.739130435,16,2.445286183,1.038765309,2.540078458,26.628,0.98712148,13.53,50.81117621
Shrublands,2020,NG,12,5.4,1.666666667,9,2.177776496,1.327250468,2.890454874,11.928,0.52862008,5.856,49.0945674
Shrublands,2020,NG,13,5.6,1.964285714,11,1.346611351,1.006391692,1.355218475,30.868,2.09514284,26.35,85.36348322
Shrublands,2020,NG,14,6,2,12,1.570465565,0.982966881,1.543715638,32.052,2.0265219,25.532,79.65805566
Shrublands,2020,NG,15,5.6,1.428571429,8,1.352700237,1.018482467,1.377701473,42.192,2.79094226,35.742,84.71274175
Shrublands,2021,HG,1,3.2,2.1875,7,1.521420513,0.986860445,1.501429723,5.968,1.18549298,0.684,11.46112601
Shrublands,2021,MG,2,4.2,2.142857143,9,2.04219333,1.167815575,2.384905178,12.976,1.67909506,1.686,12.99321825
Shrublands,2021,MG,3,4,2,8,1.585169569,1.989628774,3.153898986,9.178,0.99997526,1.872,20.39660057
Shrublands,2021,HG,4,3.2,1.875,6,1.759867921,2.22244339,3.911206829,5.09,0.42803258,1.534,30.13752456
Shrublands,2021,HG,5,4.8,2.5,12,2.172412583,2.319477852,5.038862872,3.796,0.18822828,0.774,20.38988409
Shrublands,2021,MG,6,2.8,2.5,7,1.320971318,1.383285456,1.827280413,5.034,0.49159094,3.57,70.91775924
Shrublands,2021,MG,7,5.4,1.851851852,10,2.279450656,1.390809194,3.170280931,6.944,0.39798812,4.4725,64.40812212
Shrublands,2021,HG,8,3.6,2.5,9,1.679972043,0.999491165,1.679117214,4.276,0.5152537,3.25,76.00561272
Shrublands,2021,MG,9,4.8,2.083333333,10,1.609867828,1.752704286,2.821622241,3.058,0.1802708,1.61,52.64879006
Shrublands,2021,HG,10,4,2,8,1.680184425,1.327564274,2.230552817,7.232,0.54605248,4.534,62.69358407
Shrublands,2021,NG,11,5.8,1.551724138,9,3.053815075,1.740430129,5.314951764,5.536,0.1959521,1.226,22.14595376
Shrublands,2021,NG,12,4.4,2.272727273,10,2.040567622,1.519115738,3.099858389,8.492,0.59072674,5.6575,66.62152614
Shrublands,2021,NG,13,2.8,2.5,7,1.204252109,1.007587709,1.213389624,11.062,1.09993336,10.014,90.52612547
Shrublands,2021,NG,14,3.8,2.368421053,9,1.578854414,1.659783437,2.620556405,9.372,0.67023298,5.434,57.98122066
Shrublands,2021,NG,15,2.6,2.692307692,7,1.686897658,1.132896142,1.911079848,11.162,1.00809008,9.725,87.12596309
